id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
676051,863983.0,12000.0,12000.0,12000.0, 36 months,  6.92%,370.09,A,A3,,10+ years,OWN,154000.0,VERIFIED - income source,Feb-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=676051,,debt_consolidation,2nd debt consoidation,934xx,CA,10.11,0.0,Jan-1978,1.0,,,9.0,0.0,26516.0,50.5%,32.0,f,0.0,0.0,13322.382282419,13322.38,12000.0,1322.38,0.0,0.0,0.0,Mar-2014,376.23,,Mar-2014,0.0,,1.0
730450,926409.0,6000.0,6000.0,6000.0, 36 months, 10.74%,195.7,B,B4,natinal printing and packaging,10+ years,MORTGAGE,57600.0,VERIFIED - income source,Apr-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=730450,,wedding,danny wedding,441xx,OH,17.58,0.0,Feb-1992,1.0,,108.0,17.0,1.0,11047.0,46.4%,29.0,f,0.0,0.0,7026.24,7026.24,6000.0,1026.24,0.0,0.0,0.0,Dec-2013,973.45,,Jun-2015,0.0,,1.0
718831,913101.0,10000.0,10000.0,10000.0, 36 months, 11.11%,327.91,B,B5,Hillsborough Community College,< 1 year,RENT,36000.0,VERIFIED - income source,Apr-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=718831,,house,Loan,327xx,FL,18.33,0.0,Aug-1998,1.0,41.0,,5.0,0.0,4595.0,30.8%,11.0,f,0.0,0.0,11797.1869553771,11797.19,10000.0,1797.19,0.0,0.0,0.0,Apr-2014,366.92,,Apr-2014,0.0,,1.0
593040,761591.0,11200.0,11200.0,10755.1, 36 months, 13.98%,382.69,C,C3,"Air Force Det 3,544th Intelligence Group",7 years,RENT,52800.0,VERIFIED - income source,Oct-2010,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=593040,"  Borrower added on 10/05/10 > I am currently serving in the United States Air Force for the past 7 1/2 years as an Signals Intelligence Analyst. I am Staff Sergeant (E-5), with 2 years remaining on my current contract. I plan to reenlist for an additional 6 years once I reach my reenlistment window. I am going to serve for 25 years, so I plan to retire from the Air Force.  My job responsibilities requires a Top Secret Clearance. I take my job very seriously as well as my finances as it is part of my agreement to remain in good standing with my clearance. My debt obligations are all current as of this post and will remain the same throughout. I am vested in Lending Club notes as well so I understand the importance and responsibility that comes with this. I am currently deployed to Iraq for the next 9 months. I want to use this time to build my nest egg and continue to put money in a trust fund for my daughter. This loan will allow me to accomplish those goals I set out for myself while I am here.<br/><br/>I have been married for 2 1/2 years. We have a 18 month old daughter. My wife is currently in Japan while I am away, living with her family. My wife works as an insurance claims agent. Her net income is $1400/month. I send her $500/month to assist in the care of our daughter. She pays no rent at her mother's residence. <br/><br/>I plan to use the money to consolidate credit card and loans.<br/><br/>Credit Cards: Discover, Credit One, and Capital One will be paid off while deployed) I plan to use the money from the loan to pay off the military star card<br/>Discover 700 x 2.9% (introductory rate) 15.9%<br/>Credit One Bank 300 X 22.9% (account will be closed once paid off)<br/>Capital One 1900 x 22.9% $125/month<br/>Military Star: 7500 x 9.9% $250/month<br/><br/>Loans:  <br/><br/>Prosper Loan: 2700 x 27.47% $145/ month<br/><br/><br/>Monthly Breakdown $3900/net income month<br/><br/>Rent: $0<br/>Wife: $500/month (child care and baby necessities)<br/>Car Notes &amp; Insurance $500/month<br/>Stow: $85/month (household goods)<br/>Wife's Cellphone: $85/month<br/>Credit Cards: $300/month<br/>Installment Loans: $655/ month (includes loans mentioned above)<br/><br/>If you have any questions or concerns, please feel free to ask. I thank you for taking the time to consider my loan request. Please do not pass up a great opportunity to make a nice profit on your investment.<br/>",credit_card,Debt Consolidation and Refinancing,268xx,WV,24.94,0.0,Dec-2000,1.0,,,8.0,0.0,10290.0,85%,12.0,f,0.0,0.0,4950.37,4929.74,3220.84,1361.0,0.0,368.53,7.5,Oct-2011,382.69,,Mar-2012,0.0,,1.0
811445,1018474.0,5600.0,5600.0,5575.0, 36 months,  9.99%,180.67,B,B1,,n/a,RENT,62000.0,VERIFIED - income,Jul-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=811445,"  Borrower added on 07/11/11 > I would appreciate the loan, so that we can take a long overdo vacation,pay a few small bills and purchase much needed lawn equipment! Thank you for your time !<br/> Borrower added on 07/15/11 > We always pay our bills on time! Also, we now have to attend a funeral in California, so this loan is greatly needed even more now! Thank You!<br/>",other,Personal Loan,063xx,CT,24.27,0.0,Mar-1990,0.0,,108.0,15.0,1.0,11243.0,29.5%,35.0,f,0.0,0.0,6501.0804297981995,6472.08,5599.99,901.09,0.0,0.0,0.0,Aug-2014,196.85,,Jun-2015,0.0,,1.0
445524,543325.0,5600.0,5600.0,5600.0, 36 months, 13.57%,190.23,C,C3,Metropolitan Capital Managment,< 1 year,MORTGAGE,70000.0,VERIFIED - income,Oct-2009,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=445524,"Thanks for your consideration. I am 41 and have worked in the finance industry my entire adult life. I left Merrill Lynch a couple of year ago to start my own business, and did not get profitable before business ground to a halt, and was left with credit card bills which had originally been at very low rates. They are much higher now, and I would really like to pay them off.  My wife is a freelance artist/graphic designer, but mainly takes care of our two children. She previously made $55-60k/yr, and will likely work when needed or next fall.  I have never had any missed payments, and doubtful even a late one. My credit rating has generally been 770-815 the last few years, but I am now closer to the limits on the credit cards.  Monthly budget: Income: $5800 Mortgage: $1600 Utilities: $325 Food, etc: $450 Credit cards: $650   We have some assets, real estate and vehicles, we are likely to sell in the next few months to finish paying down debt. Would rather pay you interest than higher credit card rate.  Thanks for the offer.   ",credit_card,Dependable borrower seeks cred cd help,722xx,AR,17.47,0.0,Apr-1988,3.0,,,8.0,0.0,48280.0,97.7%,23.0,f,0.0,0.0,6213.39,6213.39,5600.0,613.39,0.0,0.0,0.0,Oct-2010,11.21,,Oct-2010,0.0,,1.0
259414,259403.0,3975.0,3975.0,1925.0, 36 months, 13.87%,135.61,D,D5,UJFT,2 years,MORTGAGE,24000.0,not verified,Feb-2008,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=259414,I will like this loan to payoff my only credit card  that has a balance.,credit_card,Getting away from Washington Mutual,235xx,VA,21.9,0.0,Aug-1996,1.0,0.0,0.0,3.0,0.0,10944.0,82.3%,4.0,f,0.0,0.0,4878.86,2362.1,3975.0,903.86,0.0,0.0,0.0,Mar-2011,111.64,,Mar-2011,0.0,,1.0
447858,548913.0,20000.0,20000.0,19602.95, 36 months, 11.14%,656.07,B,B1,7UP BOTTLING,4 years,RENT,78000.0,VERIFIED - income,Oct-2009,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=447858,I am trying to purchase a new home before the end of the year.  I have money saved up for down payment but I am little bit short.  I work for a 7up bottling company since 2005 as a chief staff accountant.  I have a stable job.  I am a first time home buyer and also I am pushing to buy a new home before the end of the year so I can qualify for the tax rebate and discounts.  This loan will help me qualify to buy a new home and bring my family closer then ever before.  Thank you for all your support and understanding,house,My First Home,912xx,CA,17.2,0.0,Jul-2001,1.0,,,12.0,0.0,1401.0,9.2%,24.0,f,0.0,0.0,1533.03,1506.5,470.41,185.59,0.0,877.03,8.47,Nov-2009,656.07,,Apr-2010,0.0,,1.0
1033679,1263255.0,4800.0,4800.0,4800.0, 36 months, 10.65%,156.36,B,B2,JS Direct Marketing,1 year,RENT,26000.0,not verified,Nov-2011,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1033679,"  Borrower added on 11/19/11 > I will be using the loan to pay off my Discover, Best Buy, and Chase cards (All of which have rates of 15%-28%). <br><br> Borrower added on 11/19/11 > I will use the loan to pay off my Discover, Best Buy, and Chase credit cards (All of which have rates of 15% to 28%).<br>",credit_card,Operation Credit Card Drop,630xx,MO,11.82,0.0,Aug-2004,1.0,,,9.0,0.0,7149.0,70.1%,19.0,f,0.0,0.0,5623.4772639459,5623.48,4800.0,823.48,0.0,0.0,0.0,Oct-2014,469.06,,Oct-2014,0.0,,1.0
320072,320067.0,25000.0,18000.0,5500.0, 36 months, 17.34%,644.8,G,G1,"MIA Enterprises, LLC",1 year,RENT,90000.0,VERIFIED - income,Apr-2008,Does not meet the credit policy.  Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=320072,"I used my credit cards to start my own business and support travel expenses to get business rolling.  Now rates are high, and I want to get out of debt quick! ",debt_consolidation,"Reduce high interest rates, consolidate",871xx,NM,25.59,0.0,Jun-1995,1.0,81.0,,12.0,0.0,61915.0,86.2%,35.0,f,0.0,0.0,23207.77,7088.15,18000.0,5207.77,0.0,0.0,0.0,Apr-2011,665.31,May-2011,Apr-2014,0.0,,1.0
